id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luogo-da-visitare.orari.giorni,luogo-da-visitare.orari.apertura,luogo-da-visitare.orari.chiusura,luogo-da-visitare.orari.note,luogo-da-visitare.orari.visite,luogo-da-visitare.orari.servizi,luogo-da-visitare.orari.prezzi,luogo-da-visitare.informazioni_storiche,luogo-da-visitare.note,luogo-da-visitare.gestore.nome,luogo-da-visitare.gestore.indirizzo,luogo-da-visitare.gestore.cap,luogo-da-visitare.gestore.localita,luogo-da-visitare.gestore.mobile,luogo-da-visitare.gestore.telefono,luogo-da-visitare.gestore.fax,luogo-da-visitare.gestore.email,luogo-da-visitare.gestore.web,icon
10,I Colori del Mondo,Via Leonardo Da Vinci,32,90145,,Palermo,"38.130214899999999,13.336547299999999",091/768143,091/768145,,icoloridelmondo@pinguinoviaggi.net,,Agenzia di viaggi,,DA.NI.MA s.a.s di Lo Cascio Nicoletta & C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
26,Kinos Viaggi,Via Sampolo,73,90143,,Palermo,"38.1411734,13.3505658",091/07036,091/09624,,info@kinosviaggi.com,www.kinosviaggi.com,Agenzia di viaggi,,Capricorno '75 S.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
30,L & T viaggi, , ,90100,,Palermo,"38.115719,13.361196",952880709,952880709,,ltviaggi@hotmail.it,,Agenzia di viaggi,,L & T srl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
35,Ausonia Viaggi,Via Gaetano Daita,66,90139,,Palermo,"38.128107300000003,13.354321499999999",091/585555,091/20578,,info@ausoniaviaggi.it,www.ausoniaviaggi.it,Agenzia di viaggi,,Ausoniaviaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
40,Manfre' Viaggi,Via Empedocle Restivo, 34-36,90144,,Palermo,"38.142688,13.336691",091/25442,091/25451,,manfreviaggi@tin.it,www.manfreviaggi.it,Agenzia di viaggi,,Manfre' Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
46,Borneo Viaggi,Via Federico Giuseppe Pipitone,33,90100,,Palermo,"38.136400600000002,13.346384199999999",091/7302746,091/7826559,,borneoviaggi@hotmail.it,www.borneoviaggi.it,Agenzia di viaggi,,Borneo Viaggi di Tuttoilmondo Stefania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
55,Montalto Viaggi,Via Vincenzo di Marco, 5A,90143,,Palermo,"38.134981600000003,13.3509238",091/084407,091/0844407,,montaltoadv@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
58,Noema Viaggi,Via Gioacchino di Marzo,13,90144,,Palermo,"38.134452099999997,13.347952299999999",091/00675,091/02531,,info@noemaviaggi.it,www.noemaviaggi.it,Agenzia di viaggi,,Noema Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
72,Cocciola Viaggi,Via Ausonia,116,90146,,Palermo,"38.150466100000003,13.3340175",091/528322,091/521887,,info@cocciolaviaggi.it,www.cocciolaviaggi.it,Agenzia di viaggi,,Alemarviaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
80,Costa delle Mimose,Viale della Regione Siciliana Nord Ovest,9939,90147,Sferracavallo,Palermo,"38.175447499999997,13.2960887",091/6910644,091/7481898,,costaantonella1973@gmail.com,www.costadellemimose.it,Agenzia di viaggi,,Costa delle Mimose S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
93,SLG Travel,Via Montalbo, 1E,90142,,Palermo,"38.137445300000003,13.3590508",091/371872,091/311686,,info@slgtravel.it,,Agenzia di viaggi,,SLG Travel di Bova Maria Grazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
