id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,apertura,chiusura
390,Tonnara Florio (Kursal Tonnara Vergine Maria),Discesa Tonnara,4,90142, , Palermo,"38.151101,13.374156",091/6375611,,,discoteca@tonnaraflorio.com,http://www.tonnaraflorio.com/discoteca.htm,divertimento,Discoteca,19.00,1.00
358,Country Disco Club,Viale dell'Olimpo,3,90149, , Palermo,"38.1890353,13.318663799999999",091/304977,,,robertobianconi@inwind.it,http://www.countrydiscoclub.com,divertimento,Discoteca,22.30,3.00
417,Magazzini,Via Cristoforo Colombo,132,90142, , Palermo,"38.136694800000001,13.367648300000001",,,,,,divertimento,Discoteca,,
339,Rise up,Via La Malfa Ugo,96,90146, , Palermo,"38.162792099999997,13.3136908",,,3388137792 - 3470541647,,,divertimento,Discoteca,22.30,3.00
523,Baia del Corallo,Via Plauto, ,90147, Sferracavallo, Palermo,"38.200101799999999,13.266431000000001",,,330851289,,,divertimento,Discoteca,21.00,0.00
311,Casa Cuba,Via Messina Marine,636,90121, , Palermo,"38.097258799999999,13.419143500000001",091/495153,,,,,divertimento,Discoteca,,
351,Scalea Club,Via Faraone,2,90147, Sferracavallo, Palermo,"38.178372099999997,13.307839100000001",091/243946,,3313153269,princessscalea@tin.it,http://www.scaleaclub.com,divertimento,Discoteca,23.00,2.00
361,Villa Partanna,Via Castelforte,126,90146, , Palermo,"38.188386000000001,13.322380799999999",091/6841594,,3296212634,villapartanna@gmail.com,,divertimento,Discoteca,16.00,1.30
354,Goa,Via P.v.,46,90146, , Palermo,"38.1814435,13.3190799",330851289,,3284180075 - 3933306697,dan.bar@tin.it,http://www.goazone.it,divertimento,Discoteca,22.30,3.00
373,Fusorario,Via Bara All'Olivella,2,90133, , Palermo,"38.121394600000002,13.3622687",,,,,,"divertimento, ristoro","Pub, Discopub",21.00,4.00
402,Le Cupolette,Via Monteleone,12,90133, , Palermo,"38.119440699999998,13.361439600000001",091/6572922,,,,,"divertimento, ristoro","Pub, Discopub",21.00,3.00
327,Di Martino Drinks & Brunch,Via Giuseppe Mazzini,54,90139, , Palermo,"38.127628299999998,13.355413799999999",091/6118820,,,,,"divertimento, ristoro","Pub, Discopub",8.00,2.00
337,Cafè 442,Piazza San Giovanni Bosco,1,90143, , Palermo,"38.144855999999997,13.3461509",091/549431,,,,http://www.cafe442.it,"divertimento, ristoro","Pub, Discopub",,
344,Basquiat Cafè,Via S. Oliva,20,90141, , Palermo,"38.121995400000003,13.353139199999999",091/6090090,,,basquiatcafe@libero.it,http://www.basquiatcafe.altervista.org,"divertimento, ristoro","Pub, Discopub",19.00,2.00
412,Lizard Pub,Via Lattarini Grande,22,90133, , Palermo,"38.115742999999988,13.3645915",,,,info@lizardpub.com,http://www.lizardpub.com,"divertimento, ristoro","Pub, Discopub",,
292,Aboriginal Cafè,Via Salvatore Spinuzza,3,90133, , Palermo,"38.121583999999999,13.3607318",091/6622229,,,info@aboriginalcafe.com,http://www.aboriginalcafe.com,"divertimento, ristoro","Pub, Discopub",18.00,3.00
383,Jackass,Via Sammartino,117,90141, , Palermo,"38.1283271,13.347989500000001",091/6261221,,,jackass@ristorantiitaliani.it,http://www.ristorantiitaliani.it/jackass,"divertimento, ristoro","Pub, Discopub",18.00,2.00
394,Kovacs,Via Della Libertà,6,90141, , Palermo,"38.125240300000002,13.3549378",091/6115151,,,,,"divertimento, ristoro","Pub, Discopub",19.00,1.30
415,Lulu Pub,Via San Basilio,37,90133, , Palermo,"38.119047299999998,13.360661500000001",,,3282766812 - 3491936985,pasquale.dipollina@libero.it,,"divertimento, ristoro","Pub, Discopub",20.00,2.00
294,Ai bastioni,Via Papireto,74,90134, , Palermo,"38.117065400000001,13.351615300000001",,,,,,"divertimento, ristoro","Pub, Discopub",19.00,2.00
313,CCP Agricantus Pub,Via XX Settembre,82,90141, , Palermo,"38.129838499999998,13.3504997",091/309636,,,francesca@agricantus.org,http://www.agricantus.org,"divertimento, ristoro","Pub, Discopub",20.00,1.30
315,Chatoull'S Bistrot,Via Giuseppe Mazzini,1,90139, , Palermo,"38.127165099999999,13.3542588",,,,,,"divertimento, ristoro","Pub, Discopub",18.00,3.00
330,Easy Malox,Piazzetta della Canna,41860,90134, , Palermo,"38.115818,13.358948",,,,,,"divertimento, ristoro","Pub, Discopub",,
