Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,1700.774,1715.348,1698.651,1687.332,1721.535,1761.774,1775.726,1773.027,1777.086,1795.634,1828.837,1851.439,1862.541,1884.857,1860.291,1844.283,1867
Valle d'Aosta - Vallée d'Aoste,53.823,54.788,54.904,54.696,54.839,56.439,57.277,58.069,56.073,55.512,54.797,55.577,56.641,56.927,56.401,57.05,56.79
Lombardia,3788.326,3804.626,3808.143,3858.369,3911.098,3946.256,4014.944,4067.909,4102.537,4151.628,4193.901,4273.187,4305.269,4350.907,4299.722,4273.14,4272.998
Bolzano-Bozen,189.99,195.876,196.649,200.875,198.096,205.246,204.607,211.549,215.672,221.875,223.33,227.655,229.505,235.243,237.253,240.349,240.406
Trento,192.396,196.528,198.713,205.424,207.28,214.178,213.242,212.5,216.095,216.422,216.589,219.504,223.454,227.388,229.254,229.473,231.147
Veneto,1821.681,1843.437,1867.087,1879.953,1911.823,1956.516,1982.838,1989.24,2033.952,2042.26,2063.18,2101.357,2118.767,2159.053,2111.565,2111.747,2134.108
Friuli Venezia Giulia,470.246,475.755,477.626,481.137,484.244,493.869,508.686,508.571,502.91,499.709,503.561,519.083,522.195,521.633,508.45,507.868,510.713
Liguria,603.732,604.681,602.719,609.046,610.946,618.706,631.361,623.938,606.591,606.528,619.958,636.691,649.076,650.616,646.295,638.572,644.756
Emilia-Romagna,1714.289,1727.379,1736.001,1744.895,1791.262,1817.679,1842.835,1871.654,1871.134,1846.412,1872.439,1917.967,1953.271,1979.559,1955.632,1942.49,1974.541
Toscana,1404.328,1401.961,1400.74,1412.66,1438.326,1467.3,1489.879,1496.66,1489.302,1487.673,1509.874,1545.462,1549.631,1577.419,1569.947,1553.852,1554.926
Umbria,310.503,310.483,312.243,315.278,328.093,337.411,340.565,335.949,332.297,339.916,345.527,354.811,366.978,375.852,366.2,365.977,367.581
Marche,562.803,572.304,566.866,572.844,586.961,596.787,606.855,615.926,627.956,633.411,634.578,646.991,653.597,657.433,655.023,649.718,643.628
Lazio,1829.489,1826.559,1832.627,1834.885,1846.166,1864.122,1891.204,1954.983,2007.263,2076.168,2085.137,2122.076,2215.058,2246.199,2241.168,2256.632,2252.946
Abruzzo,464.941,473.268,472.511,468.949,462.091,473.516,492.139,495.224,490.951,479.214,492.065,498.189,502.108,517.962,494.154,493.551,506.835
Molise,108.924,107.408,107.948,107.442,107.122,109.054,111.269,111.424,108.091,109.327,106.987,109.657,112.447,114.216,110.661,108.431,107.373
Campania,1664.712,1655.723,1660.234,1702.763,1688.417,1689.817,1719.145,1769.745,1776.813,1761.176,1726.817,1730.77,1719.109,1680.576,1611.869,1583.929,1567.239
Puglia,1192.993,1194.018,1172.413,1185.28,1203.632,1229.401,1251.927,1268.89,1241.752,1235.235,1221.483,1255.888,1283.526,1286.776,1237.62,1223.115,1234.745
Basilicata,187.647,185.564,188.513,188.908,190.063,197.058,194.061,196.959,195.765,193.848,192.677,197.078,195.01,195.808,190.602,185.19,187.642
Calabria,602.315,583.686,584.847,585.005,573.306,582.746,599.189,614.488,609.569,620.12,603.419,614.551,602.197,595.188,586.138,573.475,577.391
Sicilia,1341.116,1337.864,1356.896,1382.81,1383.178,1402.281,1441.226,1459.18,1433.953,1438.934,1470.843,1502.718,1488.485,1480.16,1464.458,1440.108,1432.819
Sardegna,556.07,551.588,561.241,569.36,577.012,574.366,595.96,604.668,593.493,593.429,596.831,607.564,612.972,610.918,592.289,593.379,601.657

