Tonnara Florio (Kursal Tonnara Vergine Maria),Mon-Sun 19:00 pm - 1:00 am,"38.151101,13.374156",Discesa Tonnara,4,90142,,Palermo,091/6375611,,,discoteca@tonnaraflorio.com,http://www.tonnaraflorio.com/discoteca.htm,divertimento,Discoteca
Country Disco Club,Mon-Sun 22:30 pm - 3:00 am,"38.1890353,13.318663799999999",Viale dell'Olimpo,3,90149,,Palermo,091/304977,,,robertobianconi@inwind.it,http://www.countrydiscoclub.com,divertimento,Discoteca
Magazzini,Mon-Sun 21:00 pm - 3:00 am,"38.136694800000001,13.367648300000001",Via Cristoforo Colombo,132,90142,,Palermo,,,,,,divertimento,Discoteca
Rise up,Mon-Sun 22:30 pm - 3:00 am,"38.162792099999997,13.3136908",Via La Malfa Ugo,96,90146,,Palermo,,,3388137792 - 3470541647,,,divertimento,Discoteca
Baia del Corallo,Mon-Sun 21:00 pm - :00 am,"38.200101799999999,13.266431000000001",Via Plauto,,90147,Sferracavallo,Palermo,,,330851289,,,divertimento,Discoteca
Casa Cuba,Mon-Sun 21:00 pm - 3:00 am,"38.097258799999999,13.419143500000001",Via Messina Marine,636,90121,,Palermo,091/495153,,,,,divertimento,Discoteca
Scalea Club,Mon-Sun 23:00 pm - 2:00 am,"38.178372099999997,13.307839100000001",Via Faraone,2,90147,Sferracavallo,Palermo,091/243946,,3313153269,princessscalea@tin.it,http://www.scaleaclub.com,divertimento,Discoteca
Villa Partanna,Mon-Sun 16:00 pm - 1:30 am,"38.188386000000001,13.322380799999999",Via Castelforte,126,90146,,Palermo,091/6841594,,3296212634,villapartanna@gmail.com,,divertimento,Discoteca
Goa,Mon-Sun 22:30 pm - 3:00 am,"38.1814435,13.3190799",Via P.v.,46,90146,,Palermo,330851289,,3284180075 - 3933306697,dan.bar@tin.it,http://www.goazone.it,divertimento,Discoteca
Fusorario,Mon-Sun 21:00 pm - 4:00 am,"38.121394600000002,13.3622687",Via Bara All'Olivella,2,90133,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
Le Cupolette,Mon-Sun 21:00 pm - 3:00 am,"38.119440699999998,13.361439600000001",Via Monteleone,12,90133,,Palermo,091/6572922,,,,,"divertimento, ristoro","Pub, Discopub"
Di Martino Drinks & Brunch,Mon-Sun 8:00 am - 2:00 am,"38.127628299999998,13.355413799999999",Via Giuseppe Mazzini,54,90139,,Palermo,091/6118820,,,,,"divertimento, ristoro","Pub, Discopub"
